fee_code,fee_description,pct_of_total,net_charge,raw_line
AT,,,,AT
FOLLOW-UP,,,,FOLLOW-UP
AT,INITIAL Athletic Therapy Assess & Treat,0.79,240.0,AT INITIAL Athletic Therapy Assess & Treat  0.79% 2 visits $240.00 $240.002
CANCEL,Cancellation,0.0,0.0,CANCEL Cancellation  0.00% $0.00 $0.0027
DNA,Did not attend,0.0,0.0,DNA Did not attend  0.00% 2.00 units $0.00 $0.002
FABRIC,BAND,,,FABRIC BAND
GREE,,,,GREE
GREEN,FABRIC COVERED BAND,,,GREEN FABRIC COVERED BAND
WITH,HANDLE,,,WITH HANDLE
0.07%,,0.07,21.09,0.07% 1 item $21.09 $21.091
FOAM,"ROLLER 6"" FOAM ROLLER",0.12,36.75,"FOAM ROLLER 6"" FOAM ROLLER  0.12% 1 item $36.75 $36.751"
FOOT,- GAIT FOOTMAXX AND BIOMECHANICAL,,,FOOT - GAIT FOOTMAXX AND BIOMECHANICAL
SCAN,,,,SCAN
0.00%,,0.0,0.0,0.00% 1 visit $0.00 $0.001
INTEREST,INTEREST,2.0,,INTEREST INTEREST 2% at the end of
0.15%,,0.15,47.07,0.15% $47.07 $47.071
MASSAGE,1 30 MINUTES MASSAGE,1.07,325.0,MASSAGE 1 30 MINUTES MASSAGE  1.07% 5 visits; Duration: 2:30 hours $325.00 $325.005
MASSAGE,3 60 MINUTES MASSAGE,9.07,2765.0,"MASSAGE 3 60 MINUTES MASSAGE  9.07% 29 visits; Duration: 29:00 hours $2,765.00 $2,765.0029"
MISCELLANE,SPARKLE BOOK,0.1,30.0,MISCELLANE SPARKLE BOOK  0.10% 1 item $30.00 $30.001
MOT,INIT Manual Osteopathy ASSESS AND,,,MOT INIT Manual Osteopathy ASSESS AND
TREAT,,,,TREAT
0.49%,,0.49,150.0,0.49% 1 visit $150.00 $150.001
MOT,TRT 3 Manual Osteopathy TREATMENT,10.25,3125.0,"MOT TRT 3 Manual Osteopathy TREATMENT 10.25% 25 visits $3,125.00 $3,125.0025"
ORTHOTIC,P/U ORTHOTIC PICK UP VISIT,0.0,0.0,ORTHOTIC P/U ORTHOTIC PICK UP VISIT  0.00% 2 visits $0.00 $0.002
ORTHOTIC,,,,ORTHOTIC
REG,,,,REG
CUSTOM,MADE PRESCRIPTION,,,CUSTOM MADE PRESCRIPTION
ORTHOTIC,,,,ORTHOTIC
24.10%,,24.1,7350.0,"24.10% 14 items $7,350.00 $7,350.0014"
PROD,NECK,,,PROD NECK
ROLL,,,,ROLL
CERVICAL,ROLLS,0.12,37.89,CERVICAL ROLLS  0.12% 1 item $37.89 $37.891
PROD,PULLEY OVERHEAD SHOULDER PULLEY,0.09,28.75,PROD PULLEY OVERHEAD SHOULDER PULLEY  0.09% 1 item $28.75 $28.751
PROD,WCB,,,PROD WCB
FLEX,RD,,,FLEX RD
RED,FLEX BAR,0.09,26.28,RED FLEX BAR  0.09% 1 item $26.28 $26.281
PT,EX FOLLOW,,,PT EX FOLLOW
UP,,,,UP
FOLLOW-UP,EXERCISE PROGRAM,1.77,540.0,FOLLOW-UP EXERCISE PROGRAM  1.77% 6 visits $540.00 $540.006
PT,INIT 1 PHYSIOTHERAPY  ASSESSMENT 1,,,PT INIT 1 PHYSIOTHERAPY  ASSESSMENT 1
BODY,PART,,,BODY PART
0.39%,,0.39,120.0,0.39% 1 visit; Duration: 0:30 hours $120.00 $120.001
PT,INIT 1,,,PT INIT 1
PLUS,,,,PLUS
PHYSIOTHERAPY,ASSESSMENT PLUS,1.43,435.0,PHYSIOTHERAPY ASSESSMENT PLUS  1.43% 3 visits; Duration: 1:30 hours $435.00 $435.003
PT,INIT 2,,,PT INIT 2
PLUS,,,,PLUS
MULTIPLE,BODY PARTS,,,MULTIPLE BODY PARTS
ASSESSMENT,PLUS,,,ASSESSMENT PLUS
0.54%,,0.54,165.0,0.54% 1 visit; Duration: 0:30 hours $165.00 $165.001
PT,MAGNETIC,,,PT MAGNETIC
FIEL,,,,FIEL
ELECTRO-MAGNETIC,FIELD,,,ELECTRO-MAGNETIC FIELD
THERAPY,,,,THERAPY
0.20%,,0.2,60.0,0.20% 1 visit $60.00 $60.001
PT,MVA AAIB,,,PT MVA AAIB
REG,,,,REG
WAD,3/POST SECTION B RX,4.75,1450.0,"WAD 3/POST SECTION B RX  4.75% 10 visits $1,450.00 $1,450.0010"
PT,MVA AB2,,,PT MVA AB2
REPT,,,,REPT
AB2,Initial Report,0.16,50.0,AB2 Initial Report  0.16% 1 item $50.00 $50.001
