fee_code,fee_description,pct_of_total,net_charge,raw_line
CANCEL,Cancellation,0.0,0.0,CANCEL Cancellation  0.00% $0.00 $0.0028
DNA,Did not attend,0.0,0.0,DNA Did not attend  0.00% 2.00 units $0.00 $0.002
MASSAGE,1 30 MINUTES MASSAGE,0.63,143.0,MASSAGE 1 30 MINUTES MASSAGE  0.63% 2 visits; Duration: 1:00 hours $143.00 $143.002
MASSAGE,3 60 MINUTES MASSAGE,10.68,2421.5,"MASSAGE 3 60 MINUTES MASSAGE 10.68% 23 visits; Duration: 23:00 hours $2,421.50 $2,421.5023"
MOT,INIT Manual Osteopathy ASSESS AND,,,MOT INIT Manual Osteopathy ASSESS AND
TREAT,,,,TREAT
1.98%,,1.98,450.0,1.98% 3 visits $450.00 $450.003
MOT,TRT 1 30 MINS,0.0,0.0,MOT TRT 1 30 MINS  0.00% $0.00 $0.001
MOT,TRT 3 Manual Osteopathy TREATMENT,8.02,1820.0,"MOT TRT 3 Manual Osteopathy TREATMENT  8.02% 14 visits $1,820.00 $1,820.0014"
MOT,TRT 4 90 MINS TREATMENT,2.89,655.0,MOT TRT 4 90 MINS TREATMENT  2.89% 4 visits $655.00 $655.004
ORTHOTIC,F/U ORTHOTIC 3 WEEK FOLLOW UP,,,ORTHOTIC F/U ORTHOTIC 3 WEEK FOLLOW UP
VISIT,,,,VISIT
0.00%,,0.0,0.0,0.00% 1 visit $0.00 $0.001
ORTHOTIC,P/U ORTHOTIC PICK UP VISIT,0.0,0.0,ORTHOTIC P/U ORTHOTIC PICK UP VISIT  0.00% 10 visits $0.00 $0.0010
ORTHOTIC,,,,ORTHOTIC
REG,,,,REG
CUSTOM,MADE PRESCRIPTION,,,CUSTOM MADE PRESCRIPTION
ORTHOTIC,,,,ORTHOTIC
4.63%,,4.63,1050.0,"4.63% 2 items $1,050.00 $1,050.002"
PT,EX FOLLOW,,,PT EX FOLLOW
UP,,,,UP
FOLLOW-UP,EXERCISE PROGRAM,0.79,180.0,FOLLOW-UP EXERCISE PROGRAM  0.79% 2 visits $180.00 $180.002
PT,INIT 1 PHYSIOTHERAPY  ASSESSMENT 1,,,PT INIT 1 PHYSIOTHERAPY  ASSESSMENT 1
BODY,PART,,,BODY PART
